#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
act up,부작용을 일으키다, 이상하게 작동하다; 이상하게 행동하다; 난잡하게 행동하다, 못되게 행동하다; 과장하다
act upon,효험이 있다, 작용하다; 영향을 미치다
acting,n. 무대나　영화등에서　연기를　하는　직업，일종의　연기　또는　몸짓; adj. 대신하는, 대리의; 연기의
actinia,n. 말미잘 무리
actinic,adj. 화학선의
actinism,n. 화학선 작용
actinium,n. 앗티늄
action,n. 행동, 활동, 행위; 작용, 효과; 몸짓, 거동; 교전; 소송
actionable,adj. 소송을 일으킬만 한
activate,v. 활동적으로 하다, 활성화하다; 반응을 빨리 일으키게 하다(화학); 방사능을 부여하다, 방사성으로 하다(물리)
activating,n. 활동하기, 작동하기
activation,n. 활성화
activator,n. 활성화 시키는 사람, 활성제
active,n. 능동태; adj. 활동적인, 활기 있는, 끊임없이 움직이는; 유효한; 능동의, 능동태의(문법)
actively,adv. 활발히，능동적이게
activism,n. 활동주의, 실천주의, 정치적인 또는 그밖의 목적 달성을 위해 적극적 참여를 옹호하는 주의
activist,n. 활동가, 활동주의를 지지하는 사람, 정치적 또는 그밖의 다른 목적 달성을 위해 적극적 참여를 지지하는 사람
activistic,adj. 실천주의의, 활동주의의, 정치적 또는 그밖의 목적을 달성하기 위해 적극적 참여를 지지하는
activity,n. 활동;수행, 종사, 활약; 활발, 활기
actor,n. 배우, 연기자( 연극이나 영화 등에서)
actress,n. 여배우, 여우
acts benefiting the enemy,n. 이적행위
acts crazy,미친사람처럼 행동하다
actual,adj. 현실의, 현행의
actual circumstances,n. 실정
actual demand,n. 실수
actual inspection,n. 사실
actual number,n. 실수
actual proof,n. 실증
actualities,n. 시사, 시사적 화제, 뉴스
actuality,n. 현실, 현재
actualization,n. 실제화，현실화　과정
actualize,v. 현실화하다, 실현하다
actually,adv. 실지로, 참으로, 사실
actuarial,adj. 보험통계의(보험통계 기사)
actuary,n. 보험 수리사
actuate,v. 움직이게 하다, 작동시키다 (기계를); 활동시키다
actuator,n. 작동시키는 것 또는 사람
acuity,n. 날카로움
acumen,n. 예리함, 기지
acuminate,adj. 뾰족한
acupuncture,n. 침 요법, 신체의 특정한 부위에 침을 줌으로써 병을 치료하는 한방의학
acupuncture and moxibustion,n. 침구
acute,adj. 심한, 격렬한, 심각한; 날카로운, 예리한, 예민한; 매서운, 통렬한 ; 급성의; 예각의(기하학); 끝이 뾰족한
acute pain,찌르는 듯한 고통, 심한 통증
acute periostitis,n. 무
acutely,adv. 심히，격렬히，날카롭게
acuteness,n. 날카로움; 뾰족함; 격렬함, 심함
ad,n. 광고
ad hoc,adj. 즉석에서, 즉흥적으로
ad nauseam,싫증이날 만큼Pad nauseam || æd 'n0254;02D0;z026A;æm
ad valorem,값에 따라서ad valorem (a.v, a/v) Pyad valorem || ædv0259;'l0254;02D0;rem
adage,n. 금언
adagio,n. 느린 곡, 느린 악장, 느린 악절 (음악)
Adam,n. 아담
Adam's apple,결후, 후골, 목의 앞부분에 튀어나오 뼈 (특히 남자들에게서 볼수 있슴)
adamant,adj. 견고 무비한, 단호한, 지지 않고
adamantine,adj. 금강석 같은
Adams,n. 아담, 존 아담스(1735-1826), 미국의 2대 대통령(1797-1801): 존 퀸시 아담스(1767-1848), 미국의 6대 대통령(1825-29); 새뮤얼 아담스(1722-1803), 독립선언문의 서명자
adapt,v. 조화시키다, 순응시키다, 개조 하다; 번안하다, 각색하다
adapt to,v. 적응시키다
adaptability,n. 적응성; 순응성
adaptable,adj. 개조할 수 있는; 적응할 수 있는
adaptableness,n. 적응력
adaptation,n. 적응; 적응화; 개정, 적합화
adaptational,adj. 적응의, 순응의; 응용의, 수정의
adapted for,용도에 맞추어 바꾸다, 조화시키다, 적응시키다
adapted himself,그자신에 맞게된, 그자신에 알맞은
adapter,n. 개작자, 어댑터
adaptive,adj. 적응성이 있는, 적응할 수 있는; 융통성이 있는
adaptively,adv. 적응적으로
adaptiveness,n. 적응성, 순응성, 융통성
add,v. 보충하다, 추가하다; 더하다, 합계하다; 결론짓다
add insult to injury,상처를 입힌데다 모욕까지 주다
add to another,v. 추가하다
add up,합치다
add up to,합계 ...이 되다
add wings to,v. ...을 촉진하다
added,adj. 첨가된
addend,n. 가수
addendum,n. 추가
adder,n. 유럽에 흔한 살모사; 독사; 계산하는 사람, 계산기, 가산기
addict,n. 열중자; 마약중독자; v. 상용시키다, 마약 중독시키다
addicted,adj. 어떤 것에 중독된
addiction,n. 중독
addictive,adj. 중독의
addictively,adv. 중독적으로
addictiveness,n. 중독성
adding,n. 첨가
Addis Ababa,n. 아디스 아바바
addition,n. 부가, 첨가; 덧셈, 더하기
additional,adj. 부가적인
additional income,부수입
additional increase,n. 증수
additional payment,부가세
additionally,adv. 게다가，부가적으로
additive,n. 부가; 첨가물
addle,v. 썩이다, 썩다
addle brained,머리가 혼돈된
addle head,우둔한 사람
addle-pate,n. 우둔한 사람
addled,adj. 썩은
address,n. 인사말, 연설, 주소, 말하는 태도, 사무 능력, 청원, 구혼, 타구 자세, 골프 자세; v. 연설하다, 설교하다; 말을 걸다; 주소를 쓰다; 제기하다, 신청하다
address a letter,편지에 보내고 싶어하는 사람의 주소를 쓰다
address of welcome,n. 환영사
address oneself to,...에게 구애하다, ...에게 구혼하다
addressed,adj. 주소가 씌여진
addressee,n. 수신인, 어떤 것이 전달되어져야 할 사람, 수취인
addresser,n. 발신인, 주소를 적는 사람; 청원하는 사람
addressor,n. 발신인, 주소를 적는 사람; 청원하는 사람
adduce,v. 예증으로서 들다
adducent,adj. 내전의
adduction,n. 예증
adductor,n. 내전근
Ade,n. 조지 애드(1866-1944), 미국의 유머작가 겸 극작가
Aden,n. 아덴,예멘에 있는 항구도시
adept,adj. 숙달한, 정통한, 유능한
adeptly,adv. 기술적으로, 능숙하게, 숙련되게
adequacy,n. 적절함, 타당함
adequate,adj. 족한, 알맞은; 겨우 합격할 만한, 그만그만한
adequately,adv. 충분하게，적당히
adequateness,n. 적당함, 충분함, 들어맞음, 적합함
adhere,v. 들러붙다, 집착하다; 충실하다
adherence,n. 충성, 지지; 집착, 접착
adherent,n. 지지자; 신봉자; adj. 점착성의; 명사를 수식하는 (문법)
adherently,adv. 달라붙는，
adhesion,n. 표면에의 집착 또는 들러붙기; 부착, 애착; 동의; 유착, 분리된 신체조직의 비정상적인 유착(의학)
adhesive,n. 점착성이 있는 것, 점착제; adj. 점착성의, 들러붙는; 고집스런
adhesive plaster,반창고, 접착제가 있는 반창고
adhesively,adv. 점착적으로, 끈적 끈적하게, 들러 붙게
adhesiveness,n. 점착력; 접착력
Adidas,n. 아디다스, 운동화와 운동복 등을 제조하는 회사
adieu,n. 안녕!(불어)
adieux,n. 이별, 작별, 안녕(프랑스어)
adios,interj. 안녕!(스페인어)
adipose,adj. 지방의, 지방질의
adit,n. 입구
adj.,형용사, 명사수식 기능을 하는(문법)>adj. (adjective)
adjacency,n. 인접; 가까이 접함
adjacent,adj. 근처의; 이웃의; 인접한
adjacently,adv. 근처에, 인접하여, 부근에
adjectivally,adv. 형용사적으로(문법)
adjective,n. 형용사 (문법)
adjoin,v. ...에 닺다; ...에 인접하다, ...에 경계하여 접하다; 결합하다
adjoining,adj. 인접하는
adjourn,v. 연기하다; 폐회하다; 장소를 옮기다
adjournment,n. 연기
adjournment of a meeting,n. 유회
adjudge,v. 선고하다; 수여하다, 선정하다; 판결을 내리다; 결정하다
adjudicate,v. 판결을 내리다, 판결하다, 재결하다, 선고하다
adjudication,n. 판결내리기; 판결
adjudication of bankruptcy,n. 파산선고
adjudicator,n. 재판자, 심판관, 재판사건을 조사하고 결정하는 사람
adjunct,n. 부가물, 부가어, 부가어구
adjunctive,adj. 부속의, 부수적인; 보조적인
adjuration,n. 서원
adjure,v. 간청하다, 간구하다; 엄명하다
adjuror,n. 엄명자; 간청자, 탄원자
adjust,v. 수정하다; 조절하다, 맞추다; 조정하다; 조정되다, 순응하다
adjustability,n. 적응력
adjustable,adj. 조정할 수 있는, 조절할 수 있는, 순응할 수 있는
adjusted,adj. 조절되는, 알맞은; 변화된; 적응된; 정해진 (보험 지불금이 )
adjuster,n. 조정자, 조정체
adjusting,n. 맞추기; 조절하기
adjustment,n. 조정, 조절; 수정, 적응; 보험금 청구 정산, 정산서
adjutancy,n. 부관의 직, 부관의 지위
adjuvant,n. 도움이 되는 것, 도움이 되는 사람, 도움이 되는 보조약; adj. 도움이 되는
admeasure,v. 할당하다
administer,v. 감독하다, 관리하다; 시행하다; 주다, 부여하다
administerial,adj. 행정부의, 집행부의
administrant,n. 감독관, 감시관
administrate,v. 통치하다; 관리하다, 감독하다; 시행하다; 주다, 부여하다
administration,n. 경영( 사무실의, 계획 등의); 관리감독의 집행; 감독자, 관리자, 통치자; (약 등을) 투여하기
administrational,adj. 행정부의
administrative,adj. 관리의, 행정상의
administratively,adv. 관리상으로, 행정적으로
administrator,n. 행정관, 관리자, 행정 능력이 있는 사람, 관리 능력이 있는 사람
administratrix,n. 여자 관리인
admirability,n. 존경할 만함
admirable,adj. 칭찬할 만한; 훌륭한, 좋은
admirable performance,n. 절기
admirably,adv. 경이롭게
admiral,n. 해군 대장
Admiral Nelson,n. 넬슨제독, 영국의 제독
admiralship,n. 해군장교, 해군원수
admiralty,n. 해군 대장지위
admiration,n. 감탄, 경이; 숭배, 경탄, 찬미
admire,v. 감탄하다, 탄복하다, 찬탄하다, 감동하다; 숭배하다, 존경하다
admirer,n. 찬양자, 숭배자
admiringly,adv. 감탄스럽게，
admissibility,n. 용인, 허용
admissible,adj. 받아들여질 수 있는
admission,n. 입장; 들어감을 허락함; 자백
admission fee,입장료
admission fees,입장료
admission passage,n. 진입로
admission ticket,n. 입장권
admissive,adj. 허락하는, 받아들이는, 용인하는
admit,v. 인정하다, 시인하다, 승인하다; 입장을 허가하다, ...을 들이다; 허용하다
admittable,adj. 들어오는 것을 허락할 수 있는 ; 허락할 수 있는 ; 고백할 수 있는; 승인할 수 있는
admittance,n. 입장; 입장할 수 있는 권리
admittedly,adv. 일반적으로 인정하듯이; 의심의 여지 없이
admittible,adj. 허락할 수 있는, 받아들 일 수 있는
admitting,n. 승인 하기; 입장을 허락하기
admix,v. 혼합하다, 혼합되다
admixture,n. 혼합
admonish,v. 훈계하다, 설유하다, 타이르다, 경고하다, 권유하다
admonishment,n. 훈계
admonition,n. 훈계, 설유
admonitory,adj. 설유하는, 권고하는
ado,n. 야단법석, 소동; 흥분
adobe,n. 어도비 벽돌, 어더비 벽돌로 만든 집담
adolescence,n. 청년기; 청춘기
adolescent,n. 사춘기의　젊은이，청년; adj. 청년기의, 한창 젊은
Adolf Eichmann,아돌프 아이흐만, (1906-62) 2차세계대전시 독일 나찌정부의 고위관직자( 인권에 반하는 그의 범죄행위로 처형됨)
Adolf Hitler,아돌프 히틀러(1889-1945) 독일의 독재자, 아리안 족의 우월성을 믿은 나찌의 지도자이며 유럽정복에 대한 욕구로 제2차 세계대전을 일으킨 장본인
Adonis,n. 아도니스, 미소년; 복수초속의 식물
adopt,v. 양자로 삼다, 양녀로 삼다; 채택하다
adoptability,n. 채택가능성, 채용가능성 ( 사람 또는 의견 등의)
adoptable,adj. 채택할 만한, 채용할 수 있는
adopted,adj. 양자가 된; 입양된
adopted child,입양아
adopter,n. 입양자, 채택자, 채용자
adoption,n. 양자 채택, 양녀 채택
adoptive,adj. 선택된, 채택된; 선택하는, 채택하는; 채택되는
adoptively,adv. 양자같이
adorability,n. 좋아할 만함, 사랑스러움
adorable,adj. 숭배할 만한; 매우 사랑스러운, 매력적인
adorably,adv. 기쁘게, 사랑스럽게
adoration,n. 숭배, 경배
adore,v. 숭배하다, 무척 좋아하다
adorer,n. 숭배자
adorn,v. 꾸미다, 장식하다; 아름답게 하다
adorn oneself,모양을 내다
adornment,n. 꾸미기, 장식, 장식품; 장신구
adrenal,adj. 신장 부근의, 부신의
adrenalin,n. 혈압을　높이는　호르몬
adrenaline,n. 혈압을　높이는　호르몬
Adriatic,adj. 아드리아 해의
Adriatic Sea,아드리아해
adrift,adv. 목적없이, 방향없이;(항해) 떠다니는, 정박되지 않은(배)
adroit,adj. 기민한, 교묘한; 영리한, 재치있는; 솜씨있는, 능숙한
adroitly,adv. 기민하게, 교묘하게; 능숙하게, 솜씨있게
adroitness,n. 재치있슴, 재빠름; 능숙함
adulate,v. 아첨하다
adulation,n. 아첨, 알랑거림; 아부, 아양
adulatory,adj. 아첨하는, 알랑거리는; 지나치게 좋아하는
adult,n. 성인;성체; adj. 성장한
adulterant,n. 혼합물
adulterate,v. 섞음질을 하다, 품질을 떨어뜨리다
adulteration,n. 섞음질
adulterer,n. 간통을 행한 남자, 배우자가 아닌 다른 사람과 성관계를 가진 남자
adulterous,adj. 간통의, 부정한; 밀통의; 진짜가 아닌, 불량품의
adulterousness,n. 간통, 불륜, 부정
adultery,n. 간통, 간음
adulthood,n. 성인 , 어른
adultly,adv. 성숙하게, 성인처럼
adultness,n. 성인, 성숙한 상태
adumbrate,v. 윤곽을 나타내다, 예시하다, 어둡게 하다
adust,adj. 바싹 탄, 바싹 마른, 우울한
advance,n. 전진, 진보; 현대화; 향상; v. 나아가다, 진전시키다; 촉진하다; 승진하다; 제출하다, 의견을제시하다; 선불하다; adj. 미리　앞서서，
advance guard,전위
advance guard point,n. 첨병
advance notice,예고
advance payment,선불>
advance ticket,n. 예매권
advance to,v. 승진시키다
advanced,adj. 진보한; 현대적인
advanced age,이슥한 나이, 나이를 꽤 듦
advanced in years,고령이시다
advancement,n. 진보, 전진; 승급, 승진
advancing and staying,n. 진주
advantage,n. 이점; 이익; 유용; v. 돕다; 촉진시키다; 이익이 되다
advantageous,adj. 유리한; 도움이 되는
advantageously,adv. 유용하게, 편리하게; 유리하게
Advent,n. 그리스도의 강생, 그리스도의 강림, 출현, 도래
adventitious,adj. 우연의, 우발적인
adventure,n. 모험; 희한한 사건; v. 감행하다, 모험하다; 위험을 무릅쓰다, 대담하게 시도하다
adventurer,n. 모험가; 투기꾼
adventuresome,adj. 모험적인, 모험을 좋아하는; 대담한, 두려워 하지 않는; 용감무쌍한
adventuress,n. 모험가의 여성형
adventurous,adj. 감행하는; 모험을 좋아하는; 모험적인
adventurously,adv. 모험적으로, 겁없이, 대담히
adventurousness,n. 대담함, 두려움 없슴, 용기있슴; 저돌적임
adverb,n. 부사 (문법)
adverbial,adj. 부사의, 부사적인(문법)
adverbially,adv. 부사적으로
adversary,n. 경쟁자; 적; 반대파
adversative,adj. 반대의 뜻을 나타내는
adverse,adj. 적의를 품은; 역의; 반대의
adversely,adv. 반대적으로, 역으로; 비우호적으로, 불리하게
adversity,n. 불행, 역경, 불운; 고통
advert,n. 광고(구어); v. 언급하다, 주의를 돌리다
advertise,v. 광고하다, 선전하다(상품 등을 팔기위해) ;통지하다, 공시 하다
advertisement,n. 선전, 광고; 공시
advertiser,n. 광고자, 광고주 (일반적으로 상품이나 서비스를 팔기 위해); 공공연히 선전하는 사람
advertising,n. 광고, 대중의 관심을 끌기 (일반적으로 상품이나 일종의 서비스를 팔기위해) ; 대중에게 알리기
advertising campaign,광고 캠페인, 대중 홍보 (상품을 팔기위해 또는 정치후보로서의 등)
advertize,v. 공시하다, 광고하다, 관심을 끌다( 대개 상품이나 서비스를 팔기위해); 공공연히 선전하다
advertizement,n. 선전, 광고
advertizer,n. 광고자, 광고주 (일반적으로 상품이나 서비스를 팔기 위해); 공공연히 선전하는 사람
advertizing,n. 광고업, 광고
advice,n. 충고, 조언;통지, 주의
Advil,n. 에드빌, 화이트홀-로빈스 건강치료에서 생산된 열을 낮추거나 통증을 덜어주는 약의 이름
advisability,n. 권장할 만함, 권할 만함
advisable,adj. 바람직한; 타당한; 권할 만한
advisably,adv. 권할만 하게, 충고할만 하게
advise,v. 충고하다, 조언하다, 권하다;통지하다, 통고하다
